country,year,literacy_rate,unemployment_rate
rwanda,2018,73.2200012207031,10.759
senegal,2018,46.6100006103516,3.453
singapore,2018,97.3399963378906,3.613
sierra leone,2018,48.8143667728528,3.192
el salvador,2018,89.0100021362305,4.006
thailand,2018,93.7699966430664,0.765
tunisia,2018,79.4800033569336,15.459
uruguay,2018,98.6999969482422,8.336
uzbekistan,2018,99.9899978637695,5.392
zambia,2018,71.129997253418,5.032
united arab emirates,2019,97.7799987792969,2.331
armenia,2019,100.0,18.304
azerbaijan,2019,99.8000030517578,5.0
benin,2019,49.0,1.214
burkina faso,2019,29.6599998474121,4.493
bangladesh,2019,74.6800003051758,4.504
belarus,2019,99.870002746582,4.165
brazil,2019,93.8926266999537,11.936
central african republic,2019,42.439998626709,5.916
colombia,2019,95.25,10.28
cuba,2019,97.6500015258789,1.705
dominican republic,2019,93.6726916249429,6.356
ethiopia,2019,55.0499992370605,2.928
georgia,2019,99.8757151699707,11.565
honduras,2019,88.5100021362305,5.698
india,2019,74.8938629973395,6.51
italy,2019,99.3499984741211,9.884
cambodia,2019,87.6600036621094,0.119
lebanon,2019,92.0099744752418,11.301
sri lanka,2019,92.25,4.67
lesotho,2019,92.3961659464955,16.876
maldives,2019,98.2099990844727,4.562
mexico,2019,95.3889403219417,3.477
myanmar,2019,89.0699996948242,0.407
mongolia,2019,98.4599990844727,9.024
malaysia,2019,94.9700012207031,3.33
nepal,2019,68.7099990844727,10.477
pakistan,2019,58.0,4.83
panama,2019,95.7399978637695,6.256
philippines,2019,96.2799987792969,2.237
paraguay,2019,93.2099990844727,6.595
senegal,2019,46.8300018310547,2.863
singapore,2019,97.4800033569336,3.1
sierra leone,2019,43.5800018310547,3.204
el salvador,2019,89.1399993896484,4.17
serbia,2019,99.4800033569336,10.395
chad,2019,30.6299991607666,1.077
togo,2019,66.5400009155273,2.036
thailand,2019,91.2699966430664,0.716
tonga,2019,91.0500030517578,2.165
tunisia,2019,80.5500030517578,17.153
uruguay,2019,98.7699966430664,8.836
uzbekistan,2019,100.0,4.936
vanuatu,2019,92.4744486976738,5.444
samoa,2019,97.9899978637695,7.858
south africa,2019,95.0199966430664,28.468
zimbabwe,2019,93.2300033569336,7.373
argentina,2020,99.1399993896484,11.461
armenia,2020,99.7900009155273,18.175
burundi,2020,71.3374789737041,1.03
bangladesh,2020,74.9100036621094,5.539
bolivia,2020,93.8499984741211,7.903
brazil,2020,94.7444114331042,13.697
china,2020,96.7399978637695,5.0
colombia,2020,95.6399993896484,15.983
dominican republic,2020,93.6926372060753,6.126
ecuador,2020,93.629997253418,6.116
spain,2020,98.5899963378906,15.532
georgia,2020,99.8930662080586,11.734
guyana,2020,85.6399993896484,15.308
indonesia,2020,96.0,4.255
india,2020,75.5270629470344,7.859
cambodia,2020,82.5510430822563,0.172
kuwait,2020,96.4599990844727,3.489
sri lanka,2020,92.379997253418,5.364
mexico,2020,95.25,4.44
myanmar,2020,93.527395549521,1.476
mongolia,2020,99.1800003051758,6.413
mozambique,2020,59.7799987792969,5.019
mauritania,2020,59.5299987792969,11.051
malawi,2020,70.1500015258789,5.72
oman,2020,96.9000015258789,2.94
peru,2020,94.5,7.179
philippines,2020,98.4700012207031,2.522
paraguay,2020,94.5400009155273,7.548
rwanda,2020,80.0500030517578,11.829
saudi arabia,2020,97.5899963378906,7.66
singapore,2020,97.129997253418,4.1
el salvador,2020,89.9800033569336,5.008
tanzania,2020,82.2361019196766,1.792
uruguay,2020,98.9596198051761,10.413
vanuatu,2020,89.7930993872856,4.046
zambia,2020,81.7530087399265,6.032
